time,value
1662715200,2180
1662715500,2026
1662715800,2097
1662716100,2084
1662716400,2187
1662716700,2123
1662717000,2165
1662717300,2029
1662717600,2134
1662717900,2175
1662718200,2218
1662718500,2159
1662718800,2180
1662719100,2209
1662719400,2244
1662719700,2184
1662720000,2206
1662720300,2201
1662720600,2232
1662720900,2124
1662721200,2196
1662721500,2126
1662721800,2204
1662722100,2161
1662722400,2070
1662722700,2019
1662723000,2047
1662723300,1915
1662723600,1911
1662723900,2015
1662724200,2025
1662724500,2036
1662724800,2190
1662725100,2153
1662725400,2195
1662725700,2325
1662726000,2338
1662726300,2210
1662726600,2247
1662726900,2277
1662727200,2354
1662727500,2223
1662727800,2206
1662728100,2233
1662728400,2176
1662728700,2161
1662729000,2258
1662729300,2269
1662729600,2227
1662729900,2235
1662730200,2266
1662730500,2292
1662730800,2332
1662731100,2259
1662731400,2337
1662731700,2262
1662732000,2258
1662732300,2246
1662732600,2158
1662732900,2308
1662733200,2302
1662733500,2281
1662733800,2132
1662734100,2279
1662734400,2258
1662734700,2248
1662735000,2166
1662735300,2108
1662735600,2237
1662735900,2244
1662736200,2245
1662736500,2185
1662736800,2170
1662737100,2191
1662737400,2156
1662737700,2147
1662738000,2242
1662738300,2290
1662738600,2235
1662738900,2198
1662739200,2307
1662739500,2285
1662739800,2205
1662740100,2153
1662740400,2180
1662740700,2240
1662741000,2222
1662741300,2205
1662741600,2155
1662741900,2119
1662742200,2081
1662742500,2180
1662742800,1843
1662743100,2074
1662743400,2101
1662743700,1987
1662744000,1891
1662744300,1934
1662744600,1984
1662744900,1858
1662745200,1561
1662745500,1819
1662745800,1891
1662746100,1674
1662746400,1587
1662746700,1818
1662747000,1844
1662747300,1708
1662747600,1588
1662747900,1689
1662748200,1848
1662748500,1788
1662748800,1656
1662749100,1945
1662749400,1978
1662749700,1772
1662750000,1426
1662750300,1774
1662750600,1775
1662750900,1772
1662751200,1585
1662751500,1772
1662751800,1817
1662752100,1748
1662752400,1566
1662752700,1712
1662753000,1610
1662753300,1605
1662753600,1592
1662753900,1617
1662754200,1396
1662754500,1504
1662754800,1561
1662755100,1452
1662755400,1470
1662755700,1386
1662756000,1054
1662756300,1218
1662756600,1359
1662756900,1331
1662757200,1390
1662757500,1387
1662757800,1070
1662758100,1321
1662758400,629
1662758700,443
1662759000,301
1662759300,318
1662759600,235
1662759900,271
1662760200,423
1662760500,1032
1662760800,384
1662761100,142
1662761400,53
1662761700,84
1662762000,122
1662762300,148
1662762600,167
1662762900,176
1662763200,114
1662763500,169
1662763800,264
1662764100,167
1662764400,127
1662764700,49
1662765000,48
1662765300,43
1662765600,102
1662765900,144
1662766200,60
1662766500,113
1662766800,52
1662767100,113
1662767400,79
1662767700,295
1662768000,98
1662768300,18
1662768600,8
1662768900,4
1662769200,54
1662769500,33
1662769800,75
1662770100,118
1662770400,37
1662770700,134
1662771000,83
1662771300,74
1662771600,75
1662771900,11
1662772200,8
1662772500,24
1662772800,47
1662773100,87
1662773400,45
1662773700,127
1662774000,43
1662774300,165
1662774600,119
1662774900,424
1662775200,366
1662775500,83
1662775800,54
1662776100,54
1662776400,132
1662776700,286
1662777000,355
1662777300,348
1662777600,146
1662777900,457
1662778200,615
1662778500,504
1662778800,494
1662779100,522
1662779400,144
1662779700,446
1662780000,566
1662780300,533
1662780600,482
1662780900,442
1662781200,137
1662781500,462
1662781800,472
1662782100,640
1662782400,1114
1662782700,1320
1662783000,782
1662783300,1155
1662783600,1347
1662783900,1222
1662784200,1358
1662784500,1281
1662784800,891
1662785100,1179
1662785400,1300
1662785700,1321
1662786000,1259
1662786300,1299
1662786600,778
1662786900,1134
1662787200,1406
1662787500,1234
1662787800,1306
1662788100,1314
1662788400,914
1662788700,1204
1662789000,1544
1662789300,1369
1662789600,1462
1662789900,1548
1662790200,1208
1662790500,1578
1662790800,1762
1662791100,1560
1662791400,1607
1662791700,1730
1662792000,1400
1662792300,1823
1662792600,1907
1662792900,1900
1662793200,1844
1662793500,1922
1662793800,1801
1662794100,1870
1662794400,2039
1662794700,1915
1662795000,1788
1662795300,1877
1662795600,1912
1662795900,1872
1662796200,1856
1662796500,1801
1662796800,1889
1662797100,1868
1662797400,1877
1662797700,1826
1662798000,2026
1662798300,1928
1662798600,1819
1662798900,1931
1662799200,1946
1662799500,1856
1662799800,1880
1662800100,1780
1662800400,1835
1662800700,1904
1662801000,1882
1662801300,1801
1662801600,1954
1662801900,1801
1662802200,1880
1662802500,1903
1662802800,1811
1662803100,1831
1662803400,1819
1662803700,1700
1662804000,1894
1662804300,1783
1662804600,1804
1662804900,1772
1662805200,1871
1662805500,1816
1662805800,1876
1662806100,1940
1662806400,2018
1662806700,1876
1662807000,1855
1662807300,1830
1662807600,1846
1662807900,1784
1662808200,1833
1662808500,1805
1662808800,2010
1662809100,1776
1662809400,1920
1662809700,1932
1662810000,1916
1662810300,1758
1662810600,1921
1662810900,1839
1662811200,1850
1662811500,1832
1662811800,1617
1662812100,1587
1662812400,1730
1662812700,1570
1662813000,1612
1662813300,1605
1662813600,1674
1662813900,1722
1662814200,1714
1662814500,1685
1662814800,1797
1662815100,1811
1662815400,1657
1662815700,1791
1662816000,1894
1662816300,1865
1662816600,1887
1662816900,1952
1662817200,1889
1662817500,1859
1662817800,1945
1662818100,1924
1662818400,2021
1662818700,2026
1662819000,1917
1662819300,1876
1662819600,1973
1662819900,1830
1662820200,1849
1662820500,1820
1662820800,1778
1662821100,1853
1662821400,1841
1662821700,1821
1662822000,1748
1662822300,1786
1662822600,1639
1662822900,1651
1662823200,1773
1662823500,1725
1662823800,1693
1662824100,1781
1662824400,1665
1662824700,1715
1662825000,1760
1662825300,1730
1662825600,1567
1662825900,1738
1662826200,1609
1662826500,1756
1662826800,1770
1662827100,1641
1662827400,1729
1662827700,1802
1662828000,1702
1662828300,1572
1662828600,1698
1662828900,1572
1662829200,1504
1662829500,1567
1662829800,1667
1662830100,1603
1662830400,1539
1662830700,1552
1662831000,1682
1662831300,1526
1662831600,1548
1662831900,1701
1662832200,1814
1662832500,1680
1662832800,1460
1662833100,1516
1662833400,1693
1662833700,1642
1662834000,1505
1662834300,1540
1662834600,1800
1662834900,1719
1662835200,1600
1662835500,1779
1662835800,1689
1662836100,1614
1662836400,1420
1662836700,1718
1662837000,1792
1662837300,1629
1662837600,1576
1662837900,1714
1662838200,1831
1662838500,1747
1662838800,1564
1662839100,1620
1662839400,1639
1662839700,1605
1662840000,1530
1662840300,1531
1662840600,1314
1662840900,1323
1662841200,1461
1662841500,1452
1662841800,1523
1662842100,1538
1662842400,1051
1662842700,1231
1662843000,1396
1662843300,1362
1662843600,1326
1662843900,1423
1662844200,1083
1662844500,1254
1662844800,1278
1662845100,1227
1662845400,1021
1662845700,1052
1662846000,906
1662846300,974
1662846600,1084
1662846900,948
1662847200,890
1662847500,872
1662847800,707
1662848100,785
1662848400,935
1662848700,907
1662849000,633
1662849300,315
1662849600,823
1662849900,958
1662850200,1084
1662850500,897
1662850800,786
1662851100,563
1662851400,379
1662851700,381
1662852000,91
1662852300,149
1662852600,79
1662852900,132
1662853200,59
1662853500,142
1662853800,98
1662854100,91
1662854400,46
1662854700,17
1662855000,13
1662855300,2
1662855600,43
1662855900,28
1662856200,83
1662856500,100
1662856800,93
1662857100,144
1662857400,362
1662857700,242
1662858000,69
1662858300,13
1662858600,18
1662858900,28
1662859200,65
1662859500,61
1662859800,63
1662860100,127
1662860400,62
1662860700,161
1662861000,145
1662861300,354
1662861600,756
1662861900,576
1662862200,340
1662862500,201
